Disease,Age_Group,BMI_Category,Recommended_Diet,Avoid_Food,Calories_per_day
PCOS,Adult,Overweight,"High protein, Low carb","Sugar, Processed food",1948
Diabetes,Teen,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1582
Obesity,Senior,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1599
Obesity,Adult,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1432
PCOS,Senior,Obese,"High protein, Low carb","Sugar, Processed food",1893
PCOS,Teen,Overweight,"High protein, Low carb","Sugar, Processed food",1720
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1608
Heart Disease,Senior,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1615
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1657
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1846
PCOS,Senior,Overweight,"High protein, Low carb","Sugar, Processed food",1824
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1892
Hypertension,Teen,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1782
Obesity,Senior,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1434
Anemia,Senior,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1961
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1759
Heart Disease,Teen,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1703
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1736
Obesity,Adult,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1448
Hypertension,Senior,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1602
Diabetes,Senior,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1582
Heart Disease,Senior,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1816
Obesity,Teen,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1508
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1536
Thyroid,Senior,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1743
Kidney Disease,Senior,Overweight,"Low protein, Low potassium","Banana, High protein food",1531
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1971
Anemia,Senior,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1943
Anemia,Senior,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1872
Hypertension,Senior,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1709
Hypertension,Adult,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1604
Thyroid,Adult,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1877
Anemia,Adult,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",2004
Diabetes,Senior,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1740
Diabetes,Adult,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1762
Heart Disease,Teen,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1688
Thyroid,Senior,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1781
Hypertension,Teen,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1685
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1612
Anemia,Senior,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1969
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1631
Heart Disease,Senior,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1603
Kidney Disease,Adult,Normal,"Low protein, Low potassium","Banana, High protein food",1526
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1681
Kidney Disease,Teen,Overweight,"Low protein, Low potassium","Banana, High protein food",1600
Diabetes,Teen,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1768
Kidney Disease,Teen,Obese,"Low protein, Low potassium","Banana, High protein food",1574
Hypertension,Adult,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1738
Anemia,Teen,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1821
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1556
Hypertension,Senior,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1771
Anemia,Senior,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1835
Diabetes,Adult,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1762
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1681
Hypertension,Teen,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1784
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1889
Hypertension,Teen,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1661
Diabetes,Senior,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1544
Anemia,Senior,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1804
Heart Disease,Senior,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1873
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1582
Obesity,Senior,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1562
Diabetes,Senior,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1535
Diabetes,Teen,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1645
Anemia,Adult,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",2053
Diabetes,Teen,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1564
Diabetes,Teen,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1552
Heart Disease,Senior,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1602
Hypertension,Adult,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1709
Anemia,Teen,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",2029
Thyroid,Senior,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1854
Obesity,Teen,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1428
Thyroid,Adult,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1749
Kidney Disease,Senior,Normal,"Low protein, Low potassium","Banana, High protein food",1514
Anemia,Adult,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1844
Thyroid,Senior,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1790
Anemia,Teen,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1832
Heart Disease,Senior,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1828
PCOS,Adult,Overweight,"High protein, Low carb","Sugar, Processed food",1980
Kidney Disease,Adult,Normal,"Low protein, Low potassium","Banana, High protein food",1598
Thyroid,Senior,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1879
Hypertension,Adult,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1663
Diabetes,Adult,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1786
Diabetes,Adult,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1610
Anemia,Adult,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1826
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1791
Kidney Disease,Teen,Overweight,"Low protein, Low potassium","Banana, High protein food",1685
Anemia,Adult,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1943
Diabetes,Adult,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1653
PCOS,Adult,Normal,"High protein, Low carb","Sugar, Processed food",1845
Obesity,Teen,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1521
Thyroid,Teen,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1813
Anemia,Adult,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1852
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1587
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1831
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1629
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1697
Obesity,Senior,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1475
Diabetes,Senior,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1507
Obesity,Adult,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1542
Heart Disease,Senior,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1769
Diabetes,Teen,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1531
Thyroid,Adult,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1674
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1788
Hypertension,Teen,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1771
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1694
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1636
Kidney Disease,Senior,Overweight,"Low protein, Low potassium","Banana, High protein food",1567
PCOS,Senior,Overweight,"High protein, Low carb","Sugar, Processed food",1987
Diabetes,Teen,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1777
Diabetes,Senior,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1570
Kidney Disease,Adult,Overweight,"Low protein, Low potassium","Banana, High protein food",1682
Hypertension,Senior,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1667
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1687
Obesity,Senior,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1436
Heart Disease,Adult,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1793
Diabetes,Senior,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1788
Heart Disease,Senior,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1666
Heart Disease,Adult,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1766
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1872
Thyroid,Teen,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1858
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1553
Heart Disease,Senior,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1666
Diabetes,Senior,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1582
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1806
Anemia,Senior,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1966
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1567
Obesity,Adult,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1459
Diabetes,Teen,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1717
Diabetes,Senior,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1612
PCOS,Teen,Overweight,"High protein, Low carb","Sugar, Processed food",1810
Heart Disease,Senior,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1751
PCOS,Senior,Overweight,"High protein, Low carb","Sugar, Processed food",1728
Anemia,Senior,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1929
Anemia,Senior,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1814
PCOS,Senior,Normal,"High protein, Low carb","Sugar, Processed food",1972
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1526
Heart Disease,Teen,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1856
PCOS,Adult,Overweight,"High protein, Low carb","Sugar, Processed food",1973
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1789
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1877
Kidney Disease,Adult,Normal,"Low protein, Low potassium","Banana, High protein food",1597
Heart Disease,Teen,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1874
PCOS,Teen,Overweight,"High protein, Low carb","Sugar, Processed food",1854
Obesity,Adult,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1454
Obesity,Teen,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1473
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1614
Anemia,Teen,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1878
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1871
Anemia,Senior,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1953
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1947
Heart Disease,Adult,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1819
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1630
Obesity,Adult,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1515
Kidney Disease,Senior,Overweight,"Low protein, Low potassium","Banana, High protein food",1505
Diabetes,Teen,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1673
Heart Disease,Teen,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1659
Anemia,Adult,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1927
Heart Disease,Senior,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1779
Hypertension,Adult,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1666
PCOS,Adult,Obese,"High protein, Low carb","Sugar, Processed food",1869
Hypertension,Adult,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1656
Hypertension,Adult,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1687
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1782
Diabetes,Senior,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1551
Anemia,Senior,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1912
Diabetes,Teen,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1735
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1820
Hypertension,Adult,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1680
Diabetes,Adult,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1740
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1870
Hypertension,Senior,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1638
Obesity,Adult,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1447
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1617
Kidney Disease,Adult,Normal,"Low protein, Low potassium","Banana, High protein food",1668
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1610
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1751
PCOS,Adult,Obese,"High protein, Low carb","Sugar, Processed food",1901
Thyroid,Senior,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1747
Hypertension,Teen,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1656
PCOS,Adult,Normal,"High protein, Low carb","Sugar, Processed food",1933
Thyroid,Adult,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1691
Heart Disease,Adult,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1849
Thyroid,Senior,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1726
Kidney Disease,Adult,Overweight,"Low protein, Low potassium","Banana, High protein food",1625
Hypertension,Adult,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1671
Heart Disease,Senior,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1899
Kidney Disease,Teen,Normal,"Low protein, Low potassium","Banana, High protein food",1691
Obesity,Adult,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1594
Hypertension,Adult,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1706
Heart Disease,Teen,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1605
PCOS,Adult,Normal,"High protein, Low carb","Sugar, Processed food",1776
Kidney Disease,Teen,Overweight,"Low protein, Low potassium","Banana, High protein food",1557
PCOS,Senior,Normal,"High protein, Low carb","Sugar, Processed food",1812
Hypertension,Senior,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1797
Kidney Disease,Adult,Overweight,"Low protein, Low potassium","Banana, High protein food",1623
Anemia,Adult,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1917
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1711
Thyroid,Senior,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1819
Heart Disease,Teen,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1660
Hypertension,Teen,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1601
Diabetes,Teen,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1585
Hypertension,Teen,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1718
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1818
Anemia,Teen,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1873
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1812
Anemia,Teen,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",2001
PCOS,Teen,Overweight,"High protein, Low carb","Sugar, Processed food",1759
Heart Disease,Senior,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1748
Diabetes,Teen,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1600
Kidney Disease,Senior,Normal,"Low protein, Low potassium","Banana, High protein food",1700
Thyroid,Adult,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1675
Obesity,Teen,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1518
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1836
Anemia,Adult,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1967
Hypertension,Teen,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1771
Hypertension,Teen,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1770
Thyroid,Teen,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1725
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1704
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1747
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1589
Diabetes,Adult,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1679
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1510
Heart Disease,Senior,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1611
Hypertension,Senior,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1747
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1757
Thyroid,Senior,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1702
Kidney Disease,Adult,Normal,"Low protein, Low potassium","Banana, High protein food",1510
PCOS,Senior,Overweight,"High protein, Low carb","Sugar, Processed food",1978
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1898
Obesity,Teen,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1559
Obesity,Adult,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1593
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1768
Hypertension,Teen,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1665
Diabetes,Adult,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1680
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1912
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1690
Obesity,Adult,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1422
Obesity,Adult,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1588
Anemia,Teen,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",2064
Obesity,Adult,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1443
Kidney Disease,Adult,Overweight,"Low protein, Low potassium","Banana, High protein food",1633
Obesity,Teen,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1416
Obesity,Senior,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1587
PCOS,Adult,Normal,"High protein, Low carb","Sugar, Processed food",1719
Heart Disease,Adult,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1733
Thyroid,Senior,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1869
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1883
