Disease,Age_Group,BMI_Category,Recommended_Diet,Avoid_Food,Calories_per_day
PCOS,Senior,Normal,"High protein, Low carb","Sugar, Processed food",1764
Diabetes,Adult,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1719
Anemia,Senior,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",2031
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1838
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1783
Diabetes,Adult,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1620
Thyroid,Teen,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1870
Diabetes,Senior,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1794
Anemia,Teen,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1892
Anemia,Senior,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1975
Anemia,Adult,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1940
Anemia,Senior,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",2067
Diabetes,Senior,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1561
Kidney Disease,Teen,Overweight,"Low protein, Low potassium","Banana, High protein food",1578
Obesity,Adult,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1569
Hypertension,Senior,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1665
PCOS,Adult,Overweight,"High protein, Low carb","Sugar, Processed food",1791
Diabetes,Adult,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1768
Hypertension,Teen,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1682
Anemia,Adult,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",2069
Hypertension,Senior,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1736
Heart Disease,Adult,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1681
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1594
Anemia,Senior,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1845
Obesity,Teen,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1427
Diabetes,Adult,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1564
Kidney Disease,Teen,Obese,"Low protein, Low potassium","Banana, High protein food",1574
Anemia,Teen,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1817
Anemia,Teen,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1949
Kidney Disease,Teen,Normal,"Low protein, Low potassium","Banana, High protein food",1606
Kidney Disease,Adult,Normal,"Low protein, Low potassium","Banana, High protein food",1629
Anemia,Senior,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1930
Obesity,Adult,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1559
Hypertension,Teen,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1664
Diabetes,Adult,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1618
Diabetes,Senior,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1581
Kidney Disease,Teen,Normal,"Low protein, Low potassium","Banana, High protein food",1596
Anemia,Adult,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1924
PCOS,Adult,Obese,"High protein, Low carb","Sugar, Processed food",1842
Hypertension,Adult,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1792
Obesity,Senior,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1500
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1877
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1886
Heart Disease,Senior,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1756
Anemia,Adult,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1884
Obesity,Senior,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1597
Obesity,Adult,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1514
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1789
Kidney Disease,Adult,Normal,"Low protein, Low potassium","Banana, High protein food",1508
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1635
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1702
Diabetes,Teen,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1547
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1909
PCOS,Teen,Overweight,"High protein, Low carb","Sugar, Processed food",1968
PCOS,Adult,Normal,"High protein, Low carb","Sugar, Processed food",1814
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1736
PCOS,Senior,Normal,"High protein, Low carb","Sugar, Processed food",1733
Diabetes,Teen,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1734
Heart Disease,Teen,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1637
Diabetes,Adult,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1594
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1709
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1613
PCOS,Adult,Obese,"High protein, Low carb","Sugar, Processed food",1919
Kidney Disease,Senior,Overweight,"Low protein, Low potassium","Banana, High protein food",1640
Anemia,Adult,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",2073
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1615
Heart Disease,Senior,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1634
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1871
Diabetes,Senior,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1673
Hypertension,Teen,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1613
Hypertension,Teen,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1603
Diabetes,Adult,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1571
Hypertension,Teen,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1791
Kidney Disease,Adult,Normal,"Low protein, Low potassium","Banana, High protein food",1654
PCOS,Senior,Normal,"High protein, Low carb","Sugar, Processed food",1974
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1608
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1728
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1653
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1699
Kidney Disease,Senior,Overweight,"Low protein, Low potassium","Banana, High protein food",1502
Kidney Disease,Senior,Overweight,"Low protein, Low potassium","Banana, High protein food",1644
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1652
Obesity,Senior,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1564
Kidney Disease,Senior,Normal,"Low protein, Low potassium","Banana, High protein food",1633
Thyroid,Teen,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1771
Kidney Disease,Adult,Overweight,"Low protein, Low potassium","Banana, High protein food",1521
Obesity,Teen,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1546
Heart Disease,Senior,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1873
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1879
Heart Disease,Senior,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1774
Diabetes,Teen,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1721
Hypertension,Adult,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1644
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1603
Anemia,Senior,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1967
PCOS,Senior,Overweight,"High protein, Low carb","Sugar, Processed food",1709
PCOS,Senior,Obese,"High protein, Low carb","Sugar, Processed food",1921
Diabetes,Teen,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1570
Anemia,Teen,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1865
PCOS,Senior,Overweight,"High protein, Low carb","Sugar, Processed food",1907
Diabetes,Senior,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1698
Anemia,Adult,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1860
Thyroid,Teen,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1842
PCOS,Teen,Overweight,"High protein, Low carb","Sugar, Processed food",1984
PCOS,Senior,Overweight,"High protein, Low carb","Sugar, Processed food",1996
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1729
Diabetes,Senior,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1521
Thyroid,Senior,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1667
PCOS,Senior,Obese,"High protein, Low carb","Sugar, Processed food",1777
Anemia,Teen,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1987
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1703
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1589
Diabetes,Adult,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1703
Hypertension,Teen,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1622
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1618
Hypertension,Adult,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1671
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1887
Kidney Disease,Teen,Normal,"Low protein, Low potassium","Banana, High protein food",1610
Anemia,Adult,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1808
PCOS,Teen,Overweight,"High protein, Low carb","Sugar, Processed food",1982
Kidney Disease,Teen,Overweight,"Low protein, Low potassium","Banana, High protein food",1628
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1670
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1777
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1959
Thyroid,Teen,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1845
Obesity,Teen,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1579
PCOS,Adult,Normal,"High protein, Low carb","Sugar, Processed food",1800
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1595
Obesity,Teen,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1463
PCOS,Adult,Overweight,"High protein, Low carb","Sugar, Processed food",1801
Kidney Disease,Teen,Obese,"Low protein, Low potassium","Banana, High protein food",1699
Anemia,Senior,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1893
Thyroid,Teen,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1772
Anemia,Teen,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1837
PCOS,Adult,Obese,"High protein, Low carb","Sugar, Processed food",1964
Thyroid,Adult,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1789
Thyroid,Teen,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1865
PCOS,Senior,Overweight,"High protein, Low carb","Sugar, Processed food",1935
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1703
Diabetes,Adult,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1604
Hypertension,Adult,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1745
PCOS,Adult,Obese,"High protein, Low carb","Sugar, Processed food",1807
Diabetes,Teen,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1783
PCOS,Adult,Obese,"High protein, Low carb","Sugar, Processed food",1810
Obesity,Adult,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1424
Kidney Disease,Teen,Normal,"Low protein, Low potassium","Banana, High protein food",1638
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1605
Diabetes,Senior,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1795
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1832
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1523
Hypertension,Senior,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1641
Anemia,Teen,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1901
Anemia,Adult,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1823
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1844
PCOS,Adult,Obese,"High protein, Low carb","Sugar, Processed food",1992
PCOS,Adult,Overweight,"High protein, Low carb","Sugar, Processed food",1793
Anemia,Adult,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",2007
Obesity,Senior,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1453
Anemia,Teen,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1970
Hypertension,Adult,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1761
Hypertension,Senior,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1666
PCOS,Senior,Obese,"High protein, Low carb","Sugar, Processed food",1806
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1638
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1776
Obesity,Adult,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1401
Heart Disease,Senior,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1720
Obesity,Adult,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1571
Diabetes,Teen,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1665
Diabetes,Adult,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1702
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1898
Diabetes,Teen,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1787
PCOS,Adult,Obese,"High protein, Low carb","Sugar, Processed food",1878
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1836
Obesity,Senior,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1427
Thyroid,Teen,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1856
Anemia,Adult,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",2042
Heart Disease,Teen,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1613
Hypertension,Adult,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1691
Obesity,Adult,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1513
Anemia,Adult,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1813
Kidney Disease,Teen,Obese,"Low protein, Low potassium","Banana, High protein food",1663
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1774
Anemia,Teen,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",2087
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1638
Kidney Disease,Teen,Overweight,"Low protein, Low potassium","Banana, High protein food",1639
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1737
Heart Disease,Senior,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1620
Hypertension,Teen,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1702
PCOS,Adult,Normal,"High protein, Low carb","Sugar, Processed food",1799
PCOS,Senior,Normal,"High protein, Low carb","Sugar, Processed food",1761
Obesity,Teen,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1544
Heart Disease,Senior,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1749
Thyroid,Senior,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1854
Heart Disease,Teen,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1707
Anemia,Senior,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1881
Thyroid,Senior,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1835
Thyroid,Adult,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1661
Anemia,Senior,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1806
Hypertension,Teen,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1674
Heart Disease,Adult,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1708
Heart Disease,Teen,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1616
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1713
Diabetes,Teen,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1742
Heart Disease,Senior,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1751
Kidney Disease,Adult,Overweight,"Low protein, Low potassium","Banana, High protein food",1620
Anemia,Teen,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1984
PCOS,Adult,Normal,"High protein, Low carb","Sugar, Processed food",1785
Heart Disease,Senior,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1829
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1594
Thyroid,Adult,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1818
PCOS,Adult,Obese,"High protein, Low carb","Sugar, Processed food",1959
Diabetes,Teen,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1612
Heart Disease,Senior,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1897
PCOS,Senior,Obese,"High protein, Low carb","Sugar, Processed food",1914
Hypertension,Teen,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1650
Thyroid,Adult,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1667
Diabetes,Senior,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1568
PCOS,Adult,Overweight,"High protein, Low carb","Sugar, Processed food",1706
Diabetes,Teen,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1787
Heart Disease,Teen,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1890
Diabetes,Adult,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1581
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1963
Hypertension,Senior,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1667
Anemia,Adult,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1997
PCOS,Senior,Overweight,"High protein, Low carb","Sugar, Processed food",1781
Obesity,Senior,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1594
Obesity,Senior,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1466
PCOS,Teen,Overweight,"High protein, Low carb","Sugar, Processed food",1849
Heart Disease,Senior,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1800
Hypertension,Teen,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1642
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1800
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1646
Hypertension,Adult,Obese,"Low salt, Fruits, Vegetables","Salt, Pickles",1787
Heart Disease,Adult,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1795
Kidney Disease,Adult,Overweight,"Low protein, Low potassium","Banana, High protein food",1615
PCOS,Adult,Normal,"High protein, Low carb","Sugar, Processed food",1799
Diabetes,Adult,Normal,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1595
Hypertension,Senior,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1747
Obesity,Senior,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1493
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1969
Thyroid,Teen,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1869
Hypertension,Adult,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1603
Anemia,Adult,Overweight,"Iron rich foods, Leafy greens","Tea, Coffee",1922
Anemia,Adult,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1885
Diabetes,Senior,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1758
Obesity,Adult,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1415
Heart Disease,Teen,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1658
Diabetes,Adult,Overweight,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1680
Obesity,Senior,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1454
Thyroid,Adult,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1625
Thyroid,Teen,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1732
Thyroid,Teen,Overweight,"Balanced diet, Selenium rich food","Soy excess, Junk food",1609
Diabetes,Senior,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1672
